Time (s),Position (ticks)
0.0,3626
0.0,3628
0.01,3638
0.01,3643
0.02,3638
0.02,3623
0.03,3601
0.03,3583
0.04,3573
0.04,3574
0.05,3587
0.05,3606
0.06,3622
0.06,3631
0.07,3626
0.08,3610
0.08,3591
0.08,3572
0.09,3564
0.09,3567
0.1,3581
0.1,3600
0.11,3617
0.11,3626
0.12,3622
0.12,3607
0.13,3587
0.13,3570
0.14,3562
0.14,3565
0.15,3579
0.15,3599
0.16,3616
0.16,3624
0.17,3622
0.17,3606
0.18,3587
0.18,3569
0.19,3561
0.19,3564
0.2,3578
0.2,3598
0.21,3615
0.21,3624
0.22,3621
0.22,3607
0.23,3587
0.23,3569
0.24,3561
0.24,3565
0.25,3579
0.25,3598
0.26,3615
0.26,3624
0.27,3621
0.27,3606
0.28,3586
0.28,3569
0.29,3561
0.29,3564
0.3,3579
0.3,3598
0.31,3615
0.31,3624
0.32,3621
0.32,3606
0.33,3587
0.33,3569
0.34,3561
0.34,3564
0.35,3579
0.35,3598
0.36,3615
0.36,3624
0.37,3620
0.37,3606
0.38,3587
0.38,3569
0.39,3561
0.4,3564
0.4,3578
0.4,3597
0.41,3615
0.41,3623
0.42,3620
0.42,3606
0.43,3587
0.43,3569
0.44,3561
0.44,3565
0.45,3578
0.45,3597
0.46,3615
0.46,3623
0.47,3621
0.47,3606
0.48,3586
0.48,3570
0.49,3561
0.49,3564
0.5,3578
0.5,3597
0.51,3615
0.51,3624
0.52,3622
0.52,3607
0.53,3587
0.53,3569
0.54,3561
0.54,3564
0.55,3578
0.55,3597
0.56,3615
0.56,3624
0.57,3621
0.57,3607
0.58,3587
0.58,3569
0.59,3561
0.59,3564
0.6,3578
0.6,3597
0.61,3615
0.61,3624
0.62,3621
0.62,3607
0.63,3587
0.63,3569
0.64,3561
0.64,3564
0.65,3577
0.65,3597
0.66,3614
0.66,3624
0.67,3621
0.67,3607
0.68,3587
0.68,3570
0.69,3561
0.69,3563
0.7,3577
0.7,3597
0.71,3614
0.72,3623
0.72,3621
0.72,3606
0.73,3587
0.73,3570
0.74,3561
0.74,3564
0.75,3578
0.75,3597
0.76,3614
0.76,3623
0.77,3621
0.77,3607
0.78,3587
0.78,3569
0.79,3561
0.79,3564
0.8,3578
0.8,3597
0.81,3615
0.81,3623
0.82,3622
0.82,3608
0.83,3588
0.83,3570
0.84,3561
0.84,3564
0.85,3578
0.85,3597
0.86,3614
0.86,3624
0.87,3621
0.87,3608
0.88,3588
0.88,3570
0.89,3561
0.89,3564
0.9,3578
0.9,3597
0.91,3614
0.91,3624
0.92,3621
0.92,3608
0.93,3587
0.93,3570
0.94,3560
0.94,3564
0.95,3577
0.95,3597
0.96,3614
0.96,3624
0.97,3621
0.97,3607
0.98,3588
0.98,3570
0.99,3561
0.99,3564
1.0,3578
1.0,3596
1.01,3614
1.01,3623
1.02,3621
1.02,3608
1.03,3588
1.03,3569
1.04,3561
1.04,3564
1.05,3577
1.05,3597
1.06,3614
1.06,3624
1.07,3622
1.07,3608
1.08,3588
1.08,3570
1.09,3561
1.09,3563
1.1,3577
1.1,3596
1.11,3614
1.11,3623
1.12,3621
1.12,3608
1.13,3588
1.13,3570
1.14,3561
1.14,3563
1.15,3576
1.15,3596
1.16,3614
1.16,3623
1.17,3622
1.17,3608
1.18,3588
1.18,3570
1.19,3561
1.19,3563
1.2,3577
1.2,3596
1.21,3614
1.21,3623
1.22,3622
1.22,3608
1.23,3588
1.23,3570
1.24,3561
1.24,3563
1.25,3577
1.25,3596
1.26,3614
1.26,3623
1.27,3621
1.27,3608
1.28,3588
1.28,3570
1.29,3561
1.29,3563
1.3,3576
1.3,3596
1.31,3613
