Time (s),Position (ticks)
0.0003,3500
0.0032,3500
0.0082,3500
0.0132,3496
0.0182,3487
0.0232,3475
0.0282,3459
0.0332,3440
0.0382,3417
0.0432,3392
0.0482,3365
0.0532,3335
0.0582,3302
0.0632,3266
0.0682,3227
0.0732,3201
0.0781,3206
0.0831,3212
0.0882,3216
0.0931,3220
0.0981,3223
0.1031,3225
0.1081,3228
0.1131,3231
0.1181,3234
0.1231,3238
0.1281,3244
0.1331,3250
0.1381,3258
0.1431,3267
0.1481,3278
0.1531,3290
0.1581,3303
0.1631,3316
0.1681,3332
0.1731,3347
0.1781,3363
0.1831,3381
0.1881,3399
0.1931,3418
0.1981,3438
0.2031,3459
0.2081,3480
0.2131,3501
0.2181,3523
0.2231,3545
0.2281,3568
0.2331,3590
0.2381,3611
0.2431,3633
0.2481,3655
0.2531,3676
0.2581,3697
0.2631,3718
0.2681,3738
0.2731,3758
0.2781,3776
0.2835,3796
0.2881,3812
0.2931,3828
0.2981,3842
0.3031,3856
0.3081,3869
0.3131,3880
0.3181,3891
0.3231,3899
0.3281,3906
0.3331,3912
0.3381,3916
0.3431,3919
0.3481,3920
0.3531,3921
0.3581,3920
0.3631,3919
0.3681,3914
0.3731,3909
0.378,3902
0.383,3892
0.388,3882
0.393,3870
0.398,3856
0.403,3842
0.408,3826
0.413,3810
0.418,3793
0.423,3775
0.428,3755
0.433,3735
0.438,3715
0.443,3694
0.448,3673
0.453,3651
0.458,3629
0.463,3608
0.468,3586
0.473,3564
0.478,3542
0.483,3520
0.488,3498
0.493,3476
0.498,3456
0.503,3436
0.508,3416
0.513,3398
0.518,3381
0.523,3365
0.528,3349
0.533,3335
0.538,3321
0.543,3310
0.548,3300
0.553,3291
0.558,3283
0.563,3277
0.568,3272
0.573,3269
0.578,3267
0.5829,3266
0.5879,3266
0.5929,3267
0.5979,3271
0.6034,3278
0.6079,3285
0.6129,3294
0.6179,3304
0.6229,3316
0.6279,3328
0.6329,3342
0.6379,3357
0.6429,3374
0.6479,3392
0.6529,3411
0.6579,3430
0.6629,3450
0.6679,3471
0.6729,3492
0.6779,3513
0.6829,3535
0.6879,3558
0.6929,3580
0.6979,3602
0.7029,3624
0.7079,3646
0.7129,3668
0.7179,3690
0.7229,3710
0.7279,3731
0.7329,3751
0.7379,3770
0.7429,3789
0.7479,3807
0.7529,3823
0.7579,3838
0.7629,3852
0.7679,3864
0.7729,3876
0.7779,3887
0.7829,3896
0.7879,3903
0.7929,3908
0.7979,3912
0.8029,3915
0.8079,3916
0.8129,3916
0.8179,3916
0.8229,3913
0.8279,3909
0.8329,3902
0.8379,3894
0.8429,3885
0.8479,3873
0.8529,3860
0.8579,3846
0.8629,3831
0.8679,3815
0.8728,3798
0.8778,3779
0.8828,3760
0.8879,3739
0.8928,3719
0.8978,3698
0.9028,3676
0.9079,3654
0.9128,3632
0.9178,3610
0.9232,3586
0.9279,3565
0.9328,3543
0.9378,3521
0.9428,3499
0.9479,3477
0.9528,3456
0.9578,3436
0.9628,3416
0.9679,3398
0.9728,3381
0.9778,3365
0.9828,3349
0.9879,3334
0.9928,3321
0.9978,3310
1.0028,3300
1.0078,3292
1.0128,3285
1.0178,3279
1.0228,3275
1.0278,3272
1.0328,3270
1.0378,3270
1.0428,3270
1.0478,3274
1.0528,3279
1.0578,3286
1.0628,3295
1.0678,3305
1.0728,3318
1.0778,3330
1.0828,3343
1.0878,3358
1.0928,3376
1.0978,3394
1.1028,3413
1.1078,3432
1.1128,3452
1.1178,3473
1.1227,3496
1.1278,3517
1.1327,3540
1.1377,3563
1.1428,3585
1.1477,3608
1.1527,3630
1.1577,3652
1.1627,3674
1.1677,3695
1.1727,3717
1.1777,3738
1.1827,3758
1.1877,3777
1.1927,3795
1.1977,3812
1.2027,3829
1.2077,3843
1.2127,3856
1.2177,3869
1.2227,3880
1.2277,3889
1.2327,3897
1.2377,3903
1.2431,3908
1.2477,3910
1.2527,3911
1.2577,3912
1.2627,3911
1.2677,3909
1.2727,3904
1.2777,3898
1.2827,3890
1.2877,3880
1.2927,3868
1.2977,3855
1.3027,3840
1.3077,3824
1.3127,3808
1.3177,3790
1.3227,3771
1.3277,3752
1.3327,3731
1.3377,3710
1.3427,3688
1.3477,3666
1.3527,3644
1.3577,3621
1.3627,3599
1.3676,3576
1.3726,3553
1.3776,3531
1.3826,3508
1.3876,3486
1.3926,3464
1.3976,3444
1.4026,3424
1.4076,3405
1.4126,3386
1.4176,3370
1.4226,3355
1.4276,3340
1.4326,3326
1.4376,3315
1.4426,3305
1.4476,3296
1.4526,3289
1.4576,3283
1.4626,3279
1.4676,3276
1.4726,3275
1.4776,3275
1.4826,3276
1.4876,3279
1.4926,3285
1.4976,3293
1.5026,3302
1.5076,3313
1.5126,3325
1.5176,3338
1.5226,3353
1.5276,3370
1.5326,3388
1.5376,3407
1.5426,3426
1.5476,3446
1.5526,3468
1.5576,3490
1.563,3514
1.5676,3534
1.5726,3558
1.5776,3581
1.5826,3603
1.5876,3625
1.5926,3648
1.5976,3671
1.6026,3693
1.6076,3714
1.6126,3736
1.6176,3756
1.6226,3774
1.6276,3794
1.6326,3811
1.6376,3827
1.6426,3842
1.6476,3855
1.6526,3866
1.6576,3878
1.6626,3887
1.6676,3895
1.6725,3900
1.6775,3904
1.6825,3907
1.6875,3908
1.6925,3908
1.6975,3906
1.7025,3903
1.7075,3897
1.7125,3890
1.7175,3881
1.7225,3869
1.7275,3856
1.7325,3842
1.7375,3826
1.7425,3810
1.7475,3792
1.7525,3774
1.7575,3753
1.7625,3732
1.7675,3711
1.7725,3689
1.7775,3667
1.7825,3644
1.7875,3622
1.7925,3599
1.7975,3575
1.8025,3552
1.8075,3530
1.8125,3507
1.8175,3484
1.8225,3462
1.8275,3441
1.8325,3421
1.8375,3402
1.8425,3385
1.8475,3368
1.8525,3353
1.8575,3338
1.8625,3325
1.8675,3313
1.8725,3304
1.8775,3296
1.8829,3289
1.8874,3285
1.8924,3282
1.8974,3280
1.9024,3279
1.9074,3279
1.9124,3282
1.9174,3287
1.9224,3294
1.9274,3303
1.9324,3314
1.9374,3326
1.9424,3339
1.9474,3354
1.9524,3371
1.9574,3390
1.9624,3408
1.9674,3427
1.9724,3448
1.9774,3470
1.9824,3492
1.9874,3514
1.9924,3537
1.9974,3561
2.0024,3584
2.0074,3607
2.0124,3630
2.0174,3653
2.0224,3675
2.0274,3697
2.0324,3719
2.0374,3740
2.0424,3760
2.0474,3779
2.0524,3797
2.0574,3815
2.0624,3831
2.0674,3845
2.0724,3858
2.0774,3870
2.0824,3880
2.0874,3888
2.0924,3895
2.0974,3899
2.1024,3902
2.1074,3903
2.1124,3904
2.1174,3902
2.1224,3899
2.1274,3894
2.1324,3887
2.1374,3878
2.1424,3867
2.1474,3854
2.1524,3839
2.1574,3823
2.1624,3807
2.1674,3789
2.1723,3770
2.1774,3748
2.1823,3728
2.1873,3706
2.1923,3684
2.1974,3660
2.2027,3636
2.2073,3614
2.2123,3591
2.2174,3567
2.2223,3545
2.2273,3522
2.2323,3498
2.2374,3476
2.2423,3454
2.2473,3434
2.2523,3414
2.2574,3395
2.2623,3377
2.2673,3362
2.2723,3346
2.2774,3333
2.2823,3320
2.2873,3310
2.2923,3302
2.2974,3295
2.3023,3290
2.3073,3286
2.3123,3284
2.3173,3283
2.3223,3284
2.3273,3286
2.3323,3291
2.3373,3298
2.3423,3307
2.3473,3318
2.3523,3331
2.3573,3344
2.3623,3359
2.3673,3377
2.3723,3396
2.3773,3415
2.3823,3435
2.3873,3456
2.3922,3478
2.3972,3501
2.4022,3524
2.4072,3548
2.4122,3571
2.4172,3595
2.4222,3618
2.4272,3641
2.4322,3664
2.4372,3687
2.4422,3709
2.4472,3731
2.4522,3752
2.4572,3772
2.4622,3790
2.4672,3808
2.4722,3824
2.4772,3840
2.4822,3853
2.4872,3865
2.4922,3875
2.4972,3883
2.5022,3890
2.5072,3895
2.5122,3898
2.5172,3899
2.5226,3899
2.5272,3898
2.5322,3894
2.5372,3889
2.5422,3882
2.5472,3872
2.5522,3860
2.5572,3846
2.5622,3832
2.5672,3815
2.5722,3799
2.5772,3780
2.5822,3759
2.5872,3738
2.5922,3717
2.5972,3694
2.6022,3671
2.6072,3648
2.6122,3625
2.6172,3601
2.6222,3577
2.6272,3554
2.6322,3531
2.6372,3507
2.6422,3484
2.6472,3462
2.6522,3441
2.6572,3420
2.6622,3401
2.6672,3383
2.6722,3367
2.6772,3352
2.6822,3337
2.6872,3325
2.6921,3314
2.6971,3305
2.7021,3299
2.7071,3294
2.7121,3290
2.7171,3288
2.7221,3287
2.7271,3288
2.7321,3291
2.7371,3296
2.7421,3304
2.7471,3313
2.7521,3325
2.7571,3338
2.7621,3352
2.7671,3369
2.7721,3387
2.7771,3406
2.7821,3425
2.7871,3446
2.7921,3469
2.7971,3491
2.8021,3514
2.8071,3538
2.8121,3563
2.8171,3586
2.8221,3610
2.8271,3633
2.8321,3657
2.8371,3680
2.8425,3704
2.8471,3725
2.8521,3746
2.8571,3766
2.8621,3785
2.8671,3803
2.8721,3820
2.8771,3835
2.8821,3849
2.8871,3861
2.8921,3871
2.8971,3880
2.9021,3887
2.9071,3892
2.9121,3894
2.9171,3895
2.9221,3896
2.9271,3893
2.9321,3890
2.9371,3884
2.9421,3875
2.9471,3865
2.952,3852
2.957,3838
2.9621,3823
2.967,3806
2.972,3787
2.977,3768
2.982,3746
2.987,3725
2.992,3703
2.997,3680
3.002,3656
3.007,3633
3.012,3609
3.017,3585
3.022,3561
3.027,3537
3.032,3514
3.037,3490
3.042,3468
3.047,3446
3.052,3425
3.057,3405
3.062,3387
3.067,3370
3.072,3355
3.077,3341
3.082,3328
3.087,3317
3.092,3308
3.097,3301
3.102,3297
3.107,3293
3.112,3292
3.117,3291
3.122,3292
3.127,3296
3.132,3302
3.137,3310
3.142,3320
3.147,3333
3.152,3347
3.157,3362
3.1623,3381
3.1669,3399
3.1719,3418
3.1769,3439
3.1819,3460
3.1869,3483
3.1919,3506
3.1969,3530
3.2019,3554
3.2069,3579
3.2119,3603
3.2169,3626
3.2219,3650
3.2269,3673
3.2319,3696
3.2369,3719
3.2419,3741
3.2469,3762
3.2519,3781
3.2569,3800
3.2619,3817
3.2669,3832
3.2719,3846
3.2769,3858
3.2819,3868
3.2869,3877
3.2919,3883
3.2969,3888
3.3019,3891
3.3069,3891
3.3119,3891
3.3169,3889
3.3219,3884
3.3269,3878
3.3319,3869
3.3369,3857
3.3419,3844
3.3469,3829
3.3519,3813
3.3569,3795
3.3619,3776
3.3669,3755
3.3719,3733
3.3769,3711
3.3819,3689
3.3869,3665
3.3919,3641
3.3969,3617
3.4019,3593
3.4069,3568
3.4119,3544
3.4169,3521
3.4219,3497
3.4269,3473
3.4319,3451
3.4369,3430
3.4419,3409
3.4469,3391
3.4519,3374
3.4569,3358
3.4619,3344
3.4669,3332
3.4718,3320
3.4768,3311
3.4822,3304
3.4869,3300
3.4918,3297
3.4968,3295
3.5018,3295
3.5069,3297
3.5118,3301
3.5168,3308
3.5218,3317
3.5269,3328
3.5318,3341
3.5368,3355
3.5418,3372
3.5469,3391
3.5518,3409
3.5568,3429
3.5618,3451
3.5668,3474
3.5718,3497
3.5768,3521
3.5818,3545
3.5868,3570
3.5918,3594
3.5968,3618
3.6018,3643
3.6068,3666
3.6118,3689
3.6168,3712
3.6218,3735
3.6268,3756
3.6318,3776
3.6368,3795
3.6418,3813
3.6468,3828
3.6518,3842
3.6568,3854
3.6618,3865
3.6668,3874
3.6718,3880
3.6768,3885
3.6818,3887
3.6867,3888
3.6917,3888
3.6967,3885
3.7017,3879
3.7067,3872
3.7117,3863
3.7167,3851
3.7217,3837
3.7267,3821
3.7317,3804
3.7367,3785
3.7417,3766
3.7467,3744
3.7517,3722
3.7567,3699
3.7617,3675
3.7667,3651
3.7717,3627
3.7767,3603
3.7817,3578
3.7867,3553
3.7917,3530
3.7967,3506
3.8021,3480
3.8067,3459
3.8117,3437
3.8167,3417
3.8217,3398
3.8267,3380
3.8317,3364
3.8367,3349
3.8417,3336
3.8467,3325
3.8517,3316
3.8567,3309
3.8617,3304
3.8667,3301
3.8717,3300
3.8767,3300
3.8817,3301
3.8867,3305
3.8917,3312
3.8967,3322
3.9017,3333
3.9067,3346
3.9117,3362
3.9167,3379
3.9217,3398
3.9267,3418
3.9317,3438
3.9367,3461
3.9417,3484
3.9467,3508
3.9517,3532
3.9567,3557
3.9617,3582
3.9666,3606
3.9716,3631
3.9766,3655
3.9816,3679
3.9866,3702
3.9916,3725
3.9966,3747
4.0016,3767
4.0066,3786
4.0116,3805
4.0166,3821
4.0216,3836
4.0266,3849
4.0316,3859
4.0366,3868
4.0416,3876
4.0466,3880
4.0516,3883
4.0566,3884
4.0616,3884
4.0666,3881
4.0716,3876
4.0766,3868
4.0816,3858
4.0866,3846
4.0916,3832
4.0966,3816
4.1016,3798
4.1066,3780
4.1116,3758
4.1166,3737
4.122,3713
4.1266,3691
4.1316,3667
4.1366,3643
4.1416,3618
4.1466,3593
4.1516,3569
4.1566,3544
4.1616,3519
4.1666,3495
4.1716,3471
4.1766,3449
4.1816,3428
4.1866,3407
4.1916,3389
4.1966,3372
4.2016,3357
4.2066,3343
4.2116,3331
4.2166,3321
4.2216,3314
4.2266,3308
4.2316,3305
4.2366,3303
4.2416,3303
4.2466,3305
4.2516,3309
4.2566,3316
4.2616,3324
4.2666,3336
4.2716,3350
4.2765,3366
4.2815,3383
4.2865,3402
4.2915,3422
4.2965,3443
4.3015,3466
4.3065,3489
4.3115,3514
4.3165,3538
4.3215,3564
4.3265,3588
4.3315,3613
4.3365,3638
4.3415,3662
4.3465,3686
4.3515,3709
4.3565,3733
4.3615,3754
4.3665,3774
4.3715,3793
4.3765,3811
4.3815,3826
4.3865,3840
4.3915,3852
4.3965,3862
4.4015,3869
4.4065,3875
4.4115,3879
4.4165,3880
4.4215,3880
4.4265,3878
4.4315,3873
4.4365,3866
4.4419,3856
4.4465,3845
4.4515,3830
4.4565,3815
4.4615,3798
4.4665,3778
4.4715,3758
4.4765,3736
4.4815,3713
4.4864,3690
4.4914,3665
4.4964,3640
4.5014,3615
4.5064,3590
4.5114,3565
4.5164,3541
4.5214,3516
4.5264,3491
4.5314,3467
4.5364,3445
4.5414,3424
4.5464,3404
4.5514,3386
4.5564,3370
4.5614,3355
4.5664,3341
4.5714,3330
4.5764,3321
4.5814,3314
4.5864,3310
4.5914,3307
4.5964,3307
4.6014,3307
4.6064,3310
4.6114,3315
4.6164,3324
4.6214,3335
4.6264,3348
4.6314,3363
4.6364,3380
4.6414,3398
4.6464,3418
4.6514,3440
4.6564,3463
4.6614,3486
4.6664,3511
4.6714,3536
4.6764,3561
4.6814,3587
4.6864,3612
4.6914,3636
4.6964,3661
4.7014,3685
4.7064,3708
4.7114,3731
4.7164,3753
4.7214,3773
4.7264,3792
4.7314,3810
4.7364,3826
4.7414,3839
4.7464,3851
4.7514,3860
4.7564,3867
4.7617,3873
4.7664,3876
4.7714,3877
4.7764,3876
4.7813,3873
4.7863,3867
4.7913,3859
4.7964,3848
4.8013,3836
4.8063,3821
4.8113,3804
4.8164,3785
4.8213,3765
4.8263,3743
4.8313,3720
4.8364,3697
4.8413,3672
4.8463,3647
4.8513,3622
4.8564,3597
4.8613,3571
4.8663,3547
4.8713,3522
4.8764,3497
4.8813,3473
4.8863,3450
4.8913,3429
4.8964,3408
4.9013,3389
4.9063,3373
4.9113,3358
4.9163,3344
4.9213,3333
4.9263,3324
4.9313,3317
4.9363,3313
4.9413,3311
4.9463,3310
4.9513,3311
4.9563,3314
4.9613,3321
4.9663,3330
4.9713,3342
4.9763,3356
4.9813,3371
4.9863,3389
4.9913,3409
4.9963,3429
5.0013,3452
5.0062,3475
5.0112,3499
5.0162,3524
5.0212,3550
5.0262,3575
5.0312,3601
5.0362,3626
5.0412,3651
5.0462,3675
5.0512,3699
5.0562,3723
5.0612,3745
5.0662,3766
5.0712,3785
5.0762,3803
5.0816,3821
5.0862,3834
5.0912,3846
5.0962,3856
5.1012,3863
5.1062,3868
5.1112,3872
5.1162,3873
5.1212,3872
5.1262,3869
5.1312,3864
5.1362,3855
5.1412,3844
5.1462,3831
5.1512,3816
5.1562,3799
5.1612,3780
5.1662,3759
5.1712,3736
5.1762,3713
5.1812,3689
5.1862,3664
5.1912,3639
5.1962,3614
5.2012,3588
5.2062,3562
5.2112,3537
5.2162,3512
5.2212,3487
5.2262,3464
5.2312,3442
5.2362,3420
5.2412,3400
5.2462,3382
5.2512,3367
5.2562,3353
5.2612,3340
5.2662,3330
5.2711,3323
5.2761,3318
5.2811,3315
5.2862,3314
5.2911,3314
5.2962,3317
5.3011,3323
5.3061,3331
5.3111,3343
5.3161,3356
5.3211,3372
5.3261,3390
5.3311,3410
5.3361,3430
5.3411,3453
5.3461,3476
5.3511,3501
5.3561,3526
5.3611,3551
5.3661,3578
5.3711,3603
5.3761,3629
5.3811,3654
5.3861,3679
5.3911,3703
5.3961,3726
5.4015,3750
5.4061,3768
5.4111,3788
5.4161,3806
5.4211,3822
5.4261,3835
5.4311,3846
5.4361,3855
5.4411,3862
5.4461,3866
5.4511,3869
5.4561,3869
5.4611,3868
5.4661,3863
5.4711,3856
5.4761,3846
5.4811,3834
5.4861,3819
5.4911,3803
5.4961,3784
5.5011,3764
5.5061,3741
5.5111,3718
5.5161,3694
5.5211,3670
5.5261,3643
5.5311,3618
5.5361,3591
5.5411,3566
5.5461,3541
5.5511,3516
5.5561,3491
5.5611,3466
5.5661,3444
5.5711,3423
5.576,3402
5.5811,3385
5.586,3369
5.591,3355
5.596,3342
5.601,3332
5.606,3325
5.611,3320
5.616,3318
5.621,3317
5.626,3318
5.631,3322
5.636,3328
5.641,3338
5.646,3350
5.651,3365
5.656,3382
5.661,3400
5.666,3420
5.671,3442
5.676,3465
5.681,3490
5.686,3515
5.691,3540
5.696,3567
5.701,3593
5.706,3618
5.711,3644
5.716,3669
5.7213,3694
5.726,3717
5.731,3740
5.736,3761
5.741,3781
5.746,3799
5.751,3816
5.756,3830
5.761,3841
5.766,3851
5.771,3858
5.776,3863
5.781,3865
5.786,3866
5.791,3864
