type,value,time
T,3500.0000,0.0000
T,3497.0000,0.0010
T,3468.0000,0.0020
T,3500.0000,0.0030
G,4000.0000,0.0100
T,3500.0000,0.0101
G,4000.0000,0.0200
T,3497.0000,0.0202
G,4000.0000,0.0300
T,3470.0000,0.0303
G,4000.0000,0.0400
T,3419.0000,0.0405
G,4000.0000,0.0500
T,3345.0000,0.0506
T,3251.0000,0.0597
G,4000.0000,0.0600
T,3136.0000,0.0698
G,4000.0000,0.0700
T,3001.0000,0.0799
G,4000.0000,0.0800
G,4000.0000,0.0900
T,2846.0000,0.0900
G,4000.0000,0.1000
T,2731.0000,0.1001
G,4000.0000,0.1100
T,2779.0000,0.1103
G,4000.0000,0.1200
T,2807.0000,0.1204
G,4000.0000,0.1300
T,2812.0000,0.1305
T,2811.0000,0.1396
G,4000.0000,0.1400
T,2808.0000,0.1497
G,4000.0000,0.1500
T,2805.0000,0.1599
G,4000.0000,0.1600
T,2804.0000,0.1700
G,4000.0000,0.1700
G,4000.0000,0.1800
T,2802.0000,0.1801
G,4000.0000,0.1900
T,2802.0000,0.1902
G,4000.0000,0.2000
T,2801.0000,0.2003
G,4000.0000,0.2100
T,2801.0000,0.2105
G,4000.0000,0.2200
T,2800.0000,0.2206
T,2800.0000,0.2297
G,4000.0000,0.2300
T,2800.0000,0.2398
G,4000.0000,0.2400
T,2800.0000,0.2499
G,4000.0000,0.2500
G,4000.0000,0.2600
T,2800.0000,0.2600
G,4000.0000,0.2700
T,2800.0000,0.2701
G,4000.0000,0.2800
T,2800.0000,0.2803
G,4000.0000,0.2900
T,2800.0000,0.2904
G,4000.0000,0.3000
T,2800.0000,0.3005
T,2800.0000,0.3096
G,4000.0000,0.3100
T,2800.0000,0.3197
G,4000.0000,0.3200
T,2800.0000,0.3299
G,4000.0000,0.3300
T,2800.0000,0.3400
G,4000.0000,0.3400
G,4000.0000,0.3500
T,2800.0000,0.3501
G,4000.0000,0.3600
T,2800.0000,0.3602
G,4000.0000,0.3700
T,2800.0000,0.3703
G,4000.0000,0.3800
T,2800.0000,0.3805
T,2800.0000,0.3896
G,4000.0000,0.3900
T,2800.0000,0.3997
G,4000.0000,0.4000
T,2800.0000,0.4098
G,4000.0000,0.4100
T,2800.0000,0.4199
G,4000.0000,0.4200
G,4000.0000,0.4300
T,2800.0000,0.4300
G,4000.0000,0.4400
T,2800.0000,0.4401
G,4000.0000,0.4500
T,2800.0000,0.4503
G,4000.0000,0.4600
T,2800.0000,0.4604
T,2800.0000,0.4695
G,4000.0000,0.4700
T,2800.0000,0.4796
G,4000.0000,0.4800
T,2800.0000,0.4897
G,4000.0000,0.4900
T,2800.0000,0.4999
G,4000.0000,0.5000
T,2800.0000,0.5100
G,4000.0000,0.5100
G,4000.0000,0.5200
T,2800.0000,0.5201
G,4000.0000,0.5300
T,2800.0000,0.5302
G,4000.0000,0.5400
T,2800.0000,0.5403
G,4000.0000,0.5500
T,2800.0000,0.5505
T,2800.0000,0.5596
G,4000.0000,0.5600
T,2800.0000,0.5697
G,4000.0000,0.5700
T,2800.0000,0.5798
G,4000.0000,0.5800
T,2800.0000,0.5899
G,4000.0000,0.5900
G,4000.0000,0.6000
T,2800.0000,0.6000
G,4000.0000,0.6100
T,2800.0000,0.6101
G,4000.0000,0.6200
T,2800.0000,0.6203
G,4000.0000,0.6300
T,2800.0000,0.6304
T,2800.0000,0.6395
G,4000.0000,0.6400
T,2800.0000,0.6496
G,4000.0000,0.6500
T,2800.0000,0.6597
G,4000.0000,0.6600
T,2800.0000,0.6699
G,4000.0000,0.6700
T,2800.0000,0.6800
G,4000.0000,0.6800
G,4000.0000,0.6900
T,2800.0000,0.6901
G,4000.0000,0.7000
T,2800.0000,0.7002
G,4000.0000,0.7100
T,2800.0000,0.7103
T,2800.0000,0.7194
G,4000.0000,0.7200
T,2800.0000,0.7296
G,4000.0000,0.7300
T,2800.0000,0.7397
G,4000.0000,0.7400
T,2800.0000,0.7498
G,4000.0000,0.7500
T,2800.0000,0.7599
G,4000.0000,0.7600
G,4000.0000,0.7700
T,2800.0000,0.7700
G,4000.0000,0.7800
T,2800.0000,0.7801
G,4000.0000,0.7900
T,2800.0000,0.7903
T,2800.0000,0.7994
G,4000.0000,0.8000
T,2800.0000,0.8095
