type,value,time
T,3500.0000,0.0003
T,3500.0000,0.0031
E,0.0000,130974008.0000
E,0.0000,130977136.0000
T,3500.0000,0.0080
E,0.0000,130980272.0000
E,-0.0020,130983384.0000
T,3502.0000,0.0130
E,-0.0100,130986504.0000
T,3509.0000,0.0181
E,-0.0210,130989648.0000
E,-0.0440,130992768.0000
T,3523.0000,0.0231
E,-0.0830,130995888.0000
T,3542.0000,0.0280
E,-0.1260,130999016.0000
E,-0.1690,131002136.0000
T,3564.0000,0.0330
E,-0.2170,131005256.0000
E,-0.2710,131008384.0000
T,3589.0000,0.0380
E,-0.3240,131011512.0000
T,3617.0000,0.0431
E,-0.3820,131014632.0000
E,-0.4250,131017760.0000
T,3636.0000,0.0480
E,-0.4310,131020888.0000
T,3635.0000,0.0530
E,-0.4290,131024008.0000
E,-0.4260,131027136.0000
T,3633.0000,0.0580
E,-0.4260,131030272.0000
E,-0.4260,131033384.0000
T,3633.0000,0.0631
E,-0.4260,131036520.0000
T,3633.0000,0.0680
E,-0.4270,131039640.0000
E,-0.4310,131042768.0000
T,3637.0000,0.0730
E,-0.4360,131045888.0000
T,3641.0000,0.0780
E,-0.4480,131049016.0000
E,-0.4580,131052152.0000
T,3647.0000,0.0831
E,-0.4700,131055272.0000
E,-0.4840,131058384.0000
T,3654.0000,0.0880
E,-0.5020,131061504.0000
T,3662.0000,0.0930
E,-0.5160,131064640.0000
E,-0.5310,131067768.0000
T,3670.0000,0.0980
E,-0.5480,131070888.0000
T,3679.0000,0.1031
E,-0.5620,131074016.0000
E,-0.5790,131077136.0000
T,3687.0000,0.1085
E,-0.5960,131080272.0000
E,-0.6140,131083392.0000
T,3696.0000,0.1130
E,-0.6330,131086504.0000
T,3705.0000,0.1180
E,-0.6500,131089640.0000
E,-0.6660,131092768.0000
T,3713.0000,0.1231
E,-0.6830,131095904.0000
T,3722.0000,0.1280
E,-0.7010,131099000.0000
E,-0.7180,131102136.0000
T,3731.0000,0.1330
E,-0.7350,131105264.0000
E,-0.7500,131108384.0000
T,3739.0000,0.1380
E,-0.7660,131111512.0000
T,3747.0000,0.1431
E,-0.7820,131114632.0000
E,-0.7960,131117752.0000
T,3755.0000,0.1480
E,-0.8120,131120896.0000
T,3763.0000,0.1530
E,-0.8300,131124016.0000
E,-0.8460,131127152.0000
T,3772.0000,0.1580
E,-0.8630,131130256.0000
E,-0.8790,131133384.0000
T,3780.0000,0.1630
E,-0.8940,131136520.0000
T,3789.0000,0.1680
E,-0.9110,131139632.0000
E,-0.9280,131142768.0000
T,3797.0000,0.1730
E,-0.9430,131145888.0000
T,3805.0000,0.1780
E,-0.9580,131149008.0000
E,-0.9730,131152144.0000
T,3812.0000,0.1830
E,-0.9870,131155256.0000
E,-1.0020,131158384.0000
T,3819.0000,0.1880
E,-1.0160,131161520.0000
T,3827.0000,0.1930
E,-1.0300,131164640.0000
E,-1.0440,131167768.0000
T,3833.0000,0.1980
E,-1.0560,131170888.0000
T,3840.0000,0.2030
E,-1.0680,131174024.0000
E,-1.0810,131177136.0000
T,3846.0000,0.2080
E,-1.0920,131180272.0000
E,-1.1040,131183384.0000
T,3852.0000,0.2130
E,-1.1150,131186504.0000
T,3858.0000,0.2180
E,-1.1260,131189640.0000
E,-1.1380,131192768.0000
T,3865.0000,0.2230
E,-1.1500,131195888.0000
T,3870.0000,0.2280
E,-1.1600,131199008.0000
E,-1.1710,131202136.0000
T,3876.0000,0.2330
E,-1.1810,131205272.0000
E,-1.1900,131208384.0000
T,3881.0000,0.2380
E,-1.1990,131211520.0000
T,3886.0000,0.2430
E,-1.2070,131214640.0000
E,-1.2150,131217768.0000
T,3890.0000,0.2480
E,-1.2240,131220888.0000
T,3895.0000,0.2530
E,-1.2310,131224016.0000
E,-1.2380,131227136.0000
T,3898.0000,0.2580
E,-1.2440,131230256.0000
E,-1.2500,131233400.0000
T,3902.0000,0.2630
E,-1.2560,131236520.0000
